Timeline,Start time,Duration,Row,Instance number,, ,1. Teams,1st Phase,1st Runner,2. Time,25 Build Up,2nd Phase,3. Score,8. Shot/Goal Type,Actor,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win LONG,BS Outcome - Direct Ball Win Rutgers,BS Outcome - Direct Ball Win SJU,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover LONG,BS Outcome - Direct turnover Rutgers,BS Outcome - Direct turnover SJU,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win LONG,BS Outcome - In Direct Ball Win Rutgers,BS Outcome - In Direct Ball Win SJU,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover LONG,BS Outcome - In Direct turnover Rutgers,BS Outcome - In Direct turnover SJU,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS LONG,BS Outcome - New BS Rutgers,BS Outcome - New BS SJU,Ball Position,Ball Start,Build Zone,Circle Entry,Circle Zone,Competition,Eliminations,End Pos,From Zone DUKE,From Zone Duke,From Zone LONG,From Zone Rutgers,From Zone SJU,Goal Type,Goalie,Location,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Result,Routine,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Shot Selection,Special,Start Pos,Start Type DUKE,Start Type Duke,Start Type LONG,Start Type RUTG,Start Type Rutgers,Start Type SJU,Stopper,Target,To Zone DUKE,To Zone Duke,To Zone LONG,To Zone RUTG,To Zone Rutgers,To Zone SJU,Trap Fail,Trap Move,Traps,vs,Ungrouped,Notes,Flags
Duke v SJU,0.0,8.964999999999918,Saint Joes ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke, PC Win Duke, PC Win Duke",,,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU, To Circle SJU",,,,,", Q1, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,18.613000000000056,Saint Joes ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long Corner,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,", Q1, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,21.932000000000016,Saint Joes ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shot Duke, Chance Duke",,,,,,,PC,,,,,,,,,,,,,,,,,,,,To Circle SJU,,,,,", Q1, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,13.736000000000331,Saint Joes ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke",,Long Corner,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU",,,,,", Q2, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,7.4210000000002765,Saint Joes ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Against, Turnover",,,,,,PC,,,,,,,,,,,,,,,,,,,,,,,,,", Q2, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,9.02600000000075,Saint Joes ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke, PC Win Duke, PC Win Duke",,,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU, To Circle SJU",,,,,", Q4, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,7.798999999999978,Saint Joes ,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke","Foul Against, Turnover",,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU",,,,,", Q4, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Duke v SJU,0.0,8.667999999999665,Saint Joes ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle,,,,,,,,,,,,,"Shot Duke, Chance Duke","Interception, Turnover",,,,,,PC,,,,,,,,,,,,,,,,,,,,"To Circle SJU, To Circle SJU",,,,,", Q4, Neutral, SJU 0 - Duke 0, VC Game 1, PC, BH, Regular Season, Out of Conf",,
Timeline unc,0.0,14.0,UNC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hit 2nd - JP - glove side - UNC - 1-2-1,,
Timeline unc,0.0,14.0,UNC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st - Hit - JP - back to insert - UNC 1-2-1,,
Timeline unc,0.0,14.0,UNC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st - Hit - JP - Back to insert - UNC 1-2-1,,
Timeline unc,0.0,14.0,UNC,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st - Hit - JP - back to insert - UNC 1-2-1,,
Timeline unc,0.0,14.0,UNC,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd - hit - another corner - 1-2-1,,
Timeline unc,0.0,14.0,UNC,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st - hit - 1-2-1 - reward,,
Timeline unc,0.0,14.0,UNC,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2nd - sweep- kelsey - 1-2-1,,
Duke vs UMD,0.0,12.0,Maryland,0,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,11d11,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Routine, Actor, Outcome",,
Duke vs UMD,0.0,12.0,Maryland,1,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,11a11,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Routine, Actor, Outcome",,
Duke vs UMD,0.0,12.0,Maryland,2,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Flick, Back to Giver",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Routine, Actor, Outcome",,
William__Mary_VA__Duke_NC.SEP-11-2022,0.0,12.0,William and Mary,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,2-2 High,,,,,,,,,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Routine, Outcome, Actor",,
William__Mary_VA__Duke_NC.SEP-11-2022,0.0,12.0,William and Mary,1,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,2-2 Low,,,,,,,,,,,,,,,"Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,"Trap 1, Trap 2",,"Routine, Outcome, Actor",,
William__Mary_VA__Duke_NC.SEP-11-2022,0.0,12.0,William and Mary,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 High RT,,,,,,,,,,,,,,,"Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Routine, Outcome, Actor",,
William__Mary_VA__Duke_NC.SEP-11-2022,0.0,12.0,William and Mary,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Low,,,,,,,,,,,,,,,"Broken Play, Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Routine, Outcome, Actor",,
William__Mary_VA__Duke_NC.SEP-11-2022,0.0,12.0,William and Mary,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,2-2 Low,,,,,,,,,,,,,,,"Left Option, Broken Play, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Routine, Outcome, Actor",,
William__Mary_VA__Duke_NC.SEP-11-2022,0.0,12.0,William and Mary,5,,,,Skill Error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,"1-3 High RT, 1-3 High RT",,,,,,,,,,,,,,,,,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,,"Short Push, Short Push",,"Routine, Outcome, Actor, Routine, Outcome, Actor",,
Duke_NC__Syracuse.SEP-16-2022,0.0,12.0,Syracuse,0,,,,Re-Award,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,"1-3 Wide, 1-3 Tight",,,,,,,,,,,,,,,"Run, Shot",,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,,Trap 2,,"Outcome, Actor, Routine, Outcome, Actor, Routine",,
Duke_NC__Syracuse.SEP-16-2022,0.0,12.0,Syracuse,1,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,None,,,,,,,"Left Option, Right Option",,,,,,,,1-3,,,,,,,,,,,,,,,,"Wrap Left, Wrap Right","Trap 2, Moving, Moving",,"Outcome, Actor, Routine",,
Duke_NC__Syracuse.SEP-16-2022,0.0,12.0,Syracuse,2,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,11b11,,,,,,,"Left Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Outcome, Actor, Routine",,
Duke_NC__Syracuse.SEP-16-2022,0.0,12.0,Syracuse,3,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 High,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Outcome, Actor, Routine",,
Duke_NC__Syracuse.SEP-16-2022,0.0,12.0,Syracuse,4,,,,"Save, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,,,,,,,,"Flick, Giver Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Outcome, Actor, Routine",,
Duke_NC__Syracuse.SEP-16-2022,0.0,12.0,Syracuse,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,Run,,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,,Trap 2,,"Outcome, Actor, Routine, Outcome, Actor, Routine",,
Duke_NC__Syracuse.SEP-16-2022,0.0,12.0,Syracuse,6,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,11a11,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Outcome, Actor, Routine",,
Appalachian__Duke_NC.SEP-09-2022,0.0,15.650904460445759,APP,0,,,,"Save, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,"1-3 Low, 1-3 2x Line",,,,,,,,11a11,,,,,,,"Flick, Flick, Giver Tip",,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,,"Trap 1, Trap 1",,"Outcome, Routine, Actor, Actor, Routine, Outcome",,
Appalachian__Duke_NC.SEP-09-2022,0.0,12.0,APP,1,,,,"Re-Award, Save, Early Break",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,"1-3 2x Line, Early Break",,,,,,,,"11a11, None",,,,,,,"Flick, Giver Tip, Early Break",,,,,,,,Early Break,,,,,,,,,,,,,,,,Left,"Trap 2, Moving, Trap 1",,,,
Appalachian__Duke_NC.SEP-09-2022,0.0,12.0,APP,2,,,,"Save, Save, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,"1-3 Low, 1-3 2x Line, 1-3 Wide",,,,,,,,11a11,,,,,,,"Left Option, Shot, Flick, Giver Tip, Right Option, Left Option, Shot, R1 Tip",,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,Wrap Left,"Trap 2, Moving, Trap 2",,"Outcome, Routine, Actor, Actor, Routine, Outcome",,
Appalachian__Duke_NC.SEP-09-2022,0.0,12.0,APP,3,,,,"Save, Rebound, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,"1-3 Wide, 1-3 2x Line, 1-3 2x Line, 1-3 2x Line",,,,,,,,11a11,,,,,,,"Shot, Flick, Giver Tip, Shot",,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,"Mistrap, Mistrap",,,,"Outcome, Routine, Actor, Actor, Routine, Outcome",,
Appalachian__Duke_NC.SEP-09-2022,0.0,13.78995670083441,APP,4,,,,"Save, Save, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2, Round 2",,"1-3 2x Line, 1-3 2x Line, 1-3 Wide",,,,,,,,11a11,,,,,,,"Flick, Flick, Giver Tip, Flick",,,,,,,,1-3,,,,,,,,,,,,,,,,,"Trap 1, Trap 1, Trap 1",,"Actor, Routine, Outcome",,
Appalachian__Duke_NC.SEP-09-2022,0.0,8.562285602877182,APP,5,,,,"Skill Error, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,1-3 2x Line,,,,,,,,11a11,,,,,,,"Flick, Giver Tip",,,,,,,,,,,,,,,,,,,,,,,,"Wrap Right, Wrap Right","Trap 2, Moving, Trap 2, Moving",,,,
Appalachian__Duke_NC.SEP-09-2022,0.0,12.98205121033925,APP,6,,,,"Miss, Save, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,"1-3 2x Line, 1-3 2x Line",,,,,,,,11a11,,,,,,,"Left Option, Right Option, Shot, Flick, Giver Tip, Left Option, Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,"Wrap Right, Wrap Right","Trap 2, Moving, Trap 2, Moving",,"Actor, Routine, Outcome",,
Appalachian__Duke_NC.SEP-09-2022,0.0,14.721630196961087,APP,7,,,,"Save, Save, Save, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2, Round 2",,"1-3 2x Line, 1-3 Low",,,,,,,,11a11,,,,,,,"Shot, Shot, Flick, Giver Tip, R1 Tip, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,"Short Push, Short Push, Short Push",,"Actor, Routine, Outcome",,
Appalachian__Duke_NC.SEP-09-2022,0.0,12.0,APP,8,,,,"Save, Save, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,"1-3 Low, 1-3 2x Line, 1-3 Wide",,,,,,,,"11a11, 11a11",,,,,,,"Left Option, Shot, Flick, Giver Tip, Left Option, Shot",,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,,"Trap 2, Trap 2",,"Actor, Outcome, Routine, Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,0,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,1,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Shot, Giver Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,2,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,L1 Tip,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,3,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,"1-3 2x Line, 1-3 Tight",,,,,,,,,,,,,,,,,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,4,,,,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 2x Line,,,,,,,,,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,5,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,,,,,,,,,None,,,,,,,,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,6,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Left Option, Shot, Shot",,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,,,,"Actor, Routine, Outcome, Actor, Routine, Outcome",,
JMU__Duke_NC.SEP-25-2022,0.0,12.0,JMU,7,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Shot, Left Option, R1 Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
